node_id,wire_profile,degree,admitted,routes_current,routes_hwm,discoveries_hwm,candidates_hwm,q0_hwm,q1_hwm,pending_q1_hwm,paths_hwm,flows_hwm,app_generated,app_accepted,origin_delivered,duplicate_deliveries,q0_generated,q0_accepted,q0_delivered,q1_generated,q1_accepted,q1_delivered,delivery_pct,payload_delivered_bytes,origin_wire_bytes,wire_efficiency_pct,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,frames_tx,frames_rx,forwarded_frames_tx,control_frames_tx,business_frames_tx,wire_bytes_tx,wire_bytes_rx,no_space,no_route,link_down,other_rejected,core_tx_sent,core_rx_delivered,route_requests_sent,route_errors_sent,control_budget_dropped,host_work_us,node_storage_bytes
1,W0,3,3,8,8,0,0,0,0,0,0,0,10,10,10,0,0,0,0,10,10,10,100.000000,160,830,19.277108,10,10,10,10,46,126,30,6,40,1800,5152,0,0,0,0,46,50,0,0,0,83,9400
2,W2,4,4,8,8,0,0,0,0,0,0,0,10,10,10,0,0,0,0,10,10,10,100.000000,160,1152,13.888889,10,10,10,10,58,98,40,8,50,2262,3964,0,0,0,0,58,40,0,0,0,93,9400
3,W3,4,4,6,6,0,0,0,0,0,0,0,10,10,10,0,0,0,0,10,10,10,100.000000,160,1264,12.658228,10,10,10,10,48,48,30,8,40,1954,1836,0,0,0,0,48,10,0,0,0,57,9400
4,W1,4,4,6,6,0,0,0,0,0,0,0,10,10,10,0,0,0,0,10,10,10,100.000000,160,1012,15.810277,10,10,10,10,48,38,30,8,40,1882,1504,0,0,0,0,48,0,0,0,0,56,9400
5,W0,4,4,7,7,0,0,0,0,0,0,0,10,10,10,0,0,0,0,10,10,10,100.000000,160,880,18.181818,10,10,10,10,48,48,30,8,40,1850,1920,0,0,0,0,48,10,0,0,0,60,9400
6,W3,1,1,4,4,0,0,0,0,0,0,0,10,10,10,0,0,0,0,10,10,10,100.000000,160,1036,15.444015,10,10,10,10,12,2,0,2,10,556,68,0,0,0,0,12,0,0,0,0,17,9400
7,W1,1,1,4,4,0,0,0,0,0,0,0,10,10,10,0,0,0,0,10,10,10,100.000000,160,838,19.093079,10,10,10,10,12,2,0,2,10,448,68,0,0,0,0,12,0,0,0,0,18,9400
8,W2,1,1,5,5,0,0,0,0,0,0,0,10,10,10,0,0,0,0,10,10,10,100.000000,160,948,16.877637,10,10,10,10,12,2,0,2,10,508,76,0,0,0,0,12,0,0,0,0,18,9400
9,W0,1,1,5,5,0,0,0,0,0,0,0,10,10,10,0,0,0,0,10,10,10,100.000000,160,730,21.917808,10,10,10,10,12,2,0,2,10,390,76,0,0,0,0,12,0,0,0,0,17,9400
10,W1,1,1,5,5,0,0,0,0,0,0,0,10,10,0,0,0,0,0,10,10,0,0.000000,0,838,0.000000,0,0,0,0,12,2,0,2,10,448,76,0,0,0,0,12,0,0,0,0,16,9400
11,W2,1,1,5,5,0,0,0,0,0,0,0,10,10,0,0,0,0,0,10,10,0,0.000000,0,948,0.000000,0,0,0,0,12,2,0,2,10,508,58,0,0,0,0,12,0,0,0,0,16,9400
12,W3,1,1,5,5,0,0,0,0,0,0,0,10,10,0,0,0,0,0,10,10,0,0.000000,0,1036,0.000000,0,0,0,0,12,2,0,2,10,556,58,0,0,0,0,12,0,0,0,0,16,9400
13,W0,1,1,5,5,0,0,0,0,0,0,0,10,10,0,0,0,0,0,10,10,0,0.000000,0,730,0.000000,0,0,0,0,12,2,0,2,10,390,58,0,0,0,0,12,0,0,0,0,16,9400
14,W2,1,1,5,5,0,0,0,0,0,0,0,10,10,10,0,0,0,0,10,10,10,100.000000,160,948,16.877637,10,10,10,10,12,2,0,2,10,508,50,0,0,0,0,12,0,0,0,0,16,9400
15,W3,1,1,5,5,0,0,0,0,0,0,0,10,10,10,0,0,0,0,10,10,10,100.000000,160,1036,15.444015,10,10,10,10,12,2,0,2,10,556,50,0,0,0,0,12,0,0,0,0,16,9400
16,W1,1,1,5,5,0,0,0,0,0,0,0,10,10,0,0,0,0,0,10,10,0,0.000000,0,838,0.000000,0,0,0,0,12,2,0,2,10,448,50,0,0,0,0,12,0,0,0,0,16,9400
