"status","profile","topology","traffic","nodes","ticks","step_ms","messages_per_node","payload_bytes","warmup_ticks","warmup_batch","loss_per_mille","duplicate_per_mille","max_delay_ms","flap_every_ticks","generated","accepted","delivered","q0_generated","q0_accepted","q0_delivered","q1_generated","q1_accepted","q1_delivered","delivery_pct","payload_delivered_bytes","wire_bytes","wire_efficiency_pct","latency_p95_ms","latency_p99_ms","fairness","control_frames","forwarded_frames","no_space","no_route","link_down","event_hwm","event_capacity","simulator_backpressure","duplicate_business","route_loop","node_storage_bytes","total_node_storage_bytes","host_allocated_bytes","host_work_ms","wall_elapsed_ms"
"PASS","FULL","tree","pairs","8","100","10","1","16","150","0","0","0","0","0","800","800","800","0","0","0","800","800","800","100.000000","12800","97280","13.157895","10","10","1.000000000","112","1000","0","0","0","16","512","0","0","0","8136","65088","294761","1","2"
"PASS","FULL","tree","pairs","16","100","10","1","16","150","0","0","0","0","0","1600","1570","400","0","0","0","1600","1570","400","25.477707","6400","118704","5.391562","10","10","0.250000000","789","1263","30","0","0","43","1024","0","0","0","8136","130176","589521","2","3"
"PASS","FULL","tree","pairs","32","100","10","1","16","150","0","0","0","0","0","3200","3120","200","0","0","0","3200","3120","200","6.410256","3200","141566","2.260430","10","10","0.062500000","1965","1458","80","0","0","133","2048","0","0","0","8136","260352","1179041","3","4"
"PASS","FULL","tree","pairs","64","100","10","1","16","150","0","0","0","0","0","6400","6210","200","0","0","0","6400","6210","200","3.220612","3200","244702","1.307713","10","10","0.031250000","4199","2584","190","0","0","301","4096","0","0","0","8136","520704","2358081","6","9"
