node_id,degree,admitted,routes_current,routes_hwm,discoveries_hwm,candidates_hwm,q0_hwm,q1_hwm,pending_q1_hwm,paths_hwm,flows_hwm,app_generated,app_accepted,origin_delivered,duplicate_deliveries,q0_generated,q0_accepted,q0_delivered,q1_generated,q1_accepted,q1_delivered,delivery_pct,payload_delivered_bytes,origin_wire_bytes,wire_efficiency_pct,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,frames_tx,frames_rx,forwarded_frames_tx,control_frames_tx,business_frames_tx,wire_bytes_tx,wire_bytes_rx,no_space,no_route,link_down,other_rejected,core_tx_sent,core_rx_delivered,route_requests_sent,route_errors_sent,control_budget_dropped,host_work_us,node_storage_bytes
1,3,3,8,8,1,0,0,0,4,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,9600,0.000000,0,0,0,0,94,206,40,94,0,4320,10098,0,0,0,0,94,0,10,0,0,183,8136
2,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,7952,0.000000,0,0,0,0,143,136,75,143,0,6608,6272,10,0,0,0,143,0,9,0,10,173,8136
3,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,5936,0.000000,0,0,0,0,149,172,81,149,0,6896,8000,10,0,0,0,149,0,9,0,10,166,8136
4,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,5936,0.000000,0,0,0,0,247,356,179,147,100,12002,17636,10,0,0,0,247,0,9,0,10,270,8136
5,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,6272,0.000000,0,0,0,0,237,248,169,137,100,11520,12050,10,0,0,0,237,0,9,0,10,223,8136
6,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,6560,0.000000,0,0,0,0,149,178,81,149,0,6896,8288,10,0,0,0,149,0,9,0,10,166,8136
7,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,5552,0.000000,0,0,0,0,164,149,96,164,0,7616,6896,10,0,0,0,164,0,9,0,10,161,8136
8,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,4112,0.000000,0,0,0,0,188,89,120,188,0,8768,4016,10,0,0,0,188,0,9,0,10,151,8136
9,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,4112,0.000000,0,0,0,0,188,93,120,188,0,8768,4208,10,0,0,0,188,0,9,0,10,151,8136
10,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,4016,0.000000,0,0,0,0,188,93,120,188,0,8768,4208,10,0,0,0,188,0,9,0,10,150,8136
