"status","profile","topology","traffic","nodes","ticks","step_ms","messages_per_node","payload_bytes","warmup_ticks","warmup_batch","loss_per_mille","duplicate_per_mille","max_delay_ms","flap_every_ticks","generated","accepted","delivered","q0_generated","q0_accepted","q0_delivered","q1_generated","q1_accepted","q1_delivered","delivery_pct","payload_delivered_bytes","wire_bytes","wire_efficiency_pct","latency_p95_ms","latency_p99_ms","fairness","control_frames","forwarded_frames","no_space","no_route","link_down","event_hwm","event_capacity","simulator_backpressure","duplicate_business","route_loop","node_storage_bytes","total_node_storage_bytes","host_allocated_bytes","host_work_ms","wall_elapsed_ms"
"PASS","FULL","tree","incast","8","100","10","1","16","150","0","0","0","0","0","800","800","800","0","0","0","800","800","800","100.000000","12800","66080","19.370460","10","10","1.000000000","112","400","0","0","0","16","512","0","0","0","8136","65088","294761","0","1"
"PASS","FULL","tree","incast","16","100","10","1","16","150","0","0","0","0","0","1600","1600","1200","0","0","0","1600","1600","1200","75.000000","19200","122320","15.696534","10","10","0.750000000","430","950","0","0","0","36","1024","0","0","0","8136","130176","589521","1","2"
"PASS","FULL","tree","incast","32","100","10","1","16","150","0","0","0","0","0","3200","3140","600","0","0","0","3200","3140","600","19.108280","9600","126220","7.605768","10","10","0.187500000","1870","1144","60","0","0","110","2048","0","0","0","8136","260352","1179041","3","4"
"PASS","FULL","tree","incast","64","100","10","1","16","150","0","0","0","0","0","6400","6230","400","0","0","0","6400","6230","400","6.420546","6400","212200","3.016023","10","10","0.062500000","4188","2118","170","0","0","255","4096","0","0","0","8136","520704","2358081","6","8"
"PASS","FULL","tree","incast","128","100","10","1","16","150","0","0","0","0","0","12800","12420","400","0","0","0","12800","12420","400","3.220612","6400","414056","1.545685","10","10","0.031250000","8564","4274","380","0","0","552","8192","0","0","0","8136","1041408","4716161","12","18"
