node_id,degree,admitted,routes_current,routes_hwm,discoveries_hwm,candidates_hwm,q0_hwm,q1_hwm,pending_q1_hwm,paths_hwm,flows_hwm,app_generated,app_accepted,origin_delivered,duplicate_deliveries,q0_generated,q0_accepted,q0_delivered,q1_generated,q1_accepted,q1_delivered,delivery_pct,payload_delivered_bytes,origin_wire_bytes,wire_efficiency_pct,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,frames_tx,frames_rx,forwarded_frames_tx,control_frames_tx,business_frames_tx,wire_bytes_tx,wire_bytes_rx,no_space,no_route,link_down,other_rejected,core_tx_sent,core_rx_delivered,route_requests_sent,route_errors_sent,control_budget_dropped,host_work_us,node_storage_bytes
1,3,3,7,7,0,0,0,0,0,0,0,110,110,110,0,10,10,10,100,100,100,100.000000,1760,12400,14.193548,10,10,10,10,464,794,330,24,440,23840,41000,0,0,0,0,464,440,0,0,0,460,8136
2,4,4,6,6,0,0,0,0,0,0,0,110,110,110,0,10,10,10,100,100,100,100.000000,1760,12720,13.836478,10,10,10,10,582,692,440,32,550,29880,35600,0,0,0,0,582,220,0,0,0,456,8136
3,2,2,4,4,0,0,0,0,0,0,0,110,110,110,0,10,10,10,100,100,100,100.000000,1760,12080,14.569536,10,10,10,10,236,236,110,16,220,12080,12080,0,0,0,0,236,110,0,0,0,170,8136
4,1,1,3,3,0,0,0,0,0,0,0,110,110,110,0,10,10,10,100,100,100,100.000000,1760,11760,14.965986,10,10,10,10,118,8,0,8,110,6040,320,0,0,0,0,118,0,0,0,0,50,8136
5,1,1,4,4,0,0,0,0,0,0,0,110,110,110,0,10,10,10,100,100,100,100.000000,1760,11760,14.965986,10,10,10,10,118,118,0,8,110,6040,6040,0,0,0,0,118,110,0,0,0,87,8136
6,1,1,4,4,0,0,0,0,0,0,0,110,110,110,0,10,10,10,100,100,100,100.000000,1760,11760,14.965986,10,10,10,10,118,8,0,8,110,6040,320,0,0,0,0,118,0,0,0,0,47,8136
7,1,1,4,4,0,0,0,0,0,0,0,110,110,110,0,10,10,10,100,100,100,100.000000,1760,11760,14.965986,10,10,10,10,118,8,0,8,110,6040,320,0,0,0,0,118,0,0,0,0,47,8136
8,1,1,3,3,0,0,0,0,0,0,0,110,110,110,0,10,10,10,100,100,100,100.000000,1760,11760,14.965986,10,10,10,10,118,8,0,8,110,6040,320,0,0,0,0,118,0,0,0,0,52,8136
