"status","profile","topology","traffic","nodes","ticks","step_ms","messages_per_node","payload_bytes","warmup_ticks","warmup_batch","loss_per_mille","duplicate_per_mille","max_delay_ms","flap_every_ticks","generated","accepted","delivered","q0_generated","q0_accepted","q0_delivered","q1_generated","q1_accepted","q1_delivered","delivery_pct","payload_delivered_bytes","wire_bytes","wire_efficiency_pct","latency_p95_ms","latency_p99_ms","fairness","control_frames","forwarded_frames","no_space","no_route","link_down","event_hwm","event_capacity","simulator_backpressure","duplicate_business","route_loop","node_storage_bytes","total_node_storage_bytes","host_allocated_bytes","host_work_ms","wall_elapsed_ms"
"PASS","FULL","tree","mixed","8","100","10","1","16","150","0","0","0","0","0","880","880","880","80","80","80","800","800","800","100.000000","14080","96000","14.666667","10","10","1.000000000","112","880","0","0","0","16","512","0","0","0","8136","65088","294761","1","1"
"PASS","FULL","tree","mixed","16","100","10","1","16","150","0","0","0","0","0","1760","1760","1210","160","160","110","1600","1600","1100","68.750000","19360","192640","10.049834","10","10","0.687500000","240","1760","0","0","0","32","1024","0","0","0","8136","130176","589521","2","3"
"PASS","FULL","tree","mixed","32","100","10","1","16","150","0","0","0","0","0","3520","3520","1540","320","320","140","3200","3200","1400","43.750000","24640","385920","6.384743","10","10","0.437500000","496","3520","0","0","0","64","2048","0","0","0","8136","260352","1179041","5","7"
"PASS","FULL","tree","mixed","64","100","10","1","16","150","0","0","0","0","0","7040","7040","1980","640","640","180","6400","6400","1800","28.125000","31680","772480","4.101077","10","10","0.281250000","1008","7040","0","0","0","128","4096","0","0","0","8136","520704","2358081","11","16"
"PASS","FULL","tree","mixed","128","100","10","1","16","150","0","0","0","0","0","14080","14080","2750","1280","1280","250","12800","12800","2500","19.531250","44000","1545600","2.846791","10","10","0.195312500","2032","14080","0","0","0","256","8192","0","0","0","8136","1041408","4716161","23","34"
"PASS","FULL","tree","mixed","256","100","10","1","16","150","0","0","0","0","0","28160","28160","4290","2560","2560","390","25600","25600","3900","15.234375","68640","3091840","2.220037","10","10","0.152343750","4080","28160","0","0","0","512","16384","0","0","0","8136","2082816","9432321","47","72"
